CLAVE ,DESCRIPCION 
1,Vivienda uno 
2,Vivienda dos 
3,Vivienda tres 
4,Vivienda cuatro 
5,Vivienda cinco 
6,Vivienda seis 
7,Vivienda siete 
8,Vivienda ocho 
9,Vicienda nueve 
