CLAVE ,DESCRIPCION 
0,Ninguno
1,Preescolar
2,Primaria
3,Secundaria
4,Preparatoria o bachillerato
5,Normal b sica
6,Carrera t‚cnica
7,Profesional
8,Maestr¡a
9,Doctorado
99,No sabe
blanco ,Blanco por pase 
