iter	MultiClass
224	0.5107322133
225	0.5098220522
226	0.5088127137
227	0.5074021254
228	0.5058702941
229	0.5047065548
230	0.503414453
231	0.5019108818
232	0.5004640277
233	0.4997301962
234	0.4988459817
235	0.4975721829
236	0.4967706609
237	0.4960373714
238	0.4952217627
239	0.4936827262
240	0.4929256799
241	0.4918930876
242	0.4910328962
243	0.4903061262
244	0.4890474206
245	0.4883167454
246	0.4875625661
247	0.486751073
248	0.4857162095
249	0.4850015621
250	0.4841324862
251	0.4832048065
252	0.4820536903
253	0.4815037058
254	0.4808184528
255	0.4802079909
256	0.4796974917
257	0.4790045082
258	0.4781389288
259	0.4774910232
260	0.4764894411
261	0.4757291027
262	0.4746811594
263	0.4740390108
264	0.4731409037
265	0.4724290343
266	0.4715685746
267	0.4703885033
268	0.469246267
269	0.4686346779
270	0.4676964584
271	0.4666874253
272	0.4656774194
273	0.464835443
274	0.4636297604
275	0.4629350284
276	0.4618902655
277	0.4611873552
278	0.4602519496
279	0.4592277294
280	0.4585167036
281	0.4575230043
282	0.4562905412
283	0.4553930815
284	0.4545456212
285	0.4539587067
286	0.4530334555
287	0.4525549933
288	0.4518370813
289	0.4513463442
290	0.4508482176
291	0.4500854675
292	0.4495158712
293	0.4490373359
294	0.448202185
295	0.4475170594
296	0.4471031179
297	0.4463009831
298	0.4453897396
299	0.4445319266
300	0.443751947
301	0.442800914
302	0.4422865488
303	0.4417125315
304	0.4410988339
305	0.4405711622
306	0.4395393763
307	0.4390812033
308	0.4382308462
309	0.4374316833
310	0.4367341274
311	0.4358060847
312	0.4352637507
313	0.434557433
314	0.4336065422
315	0.4332531691
316	0.432544327
317	0.4317960491
318	0.4310221305
319	0.4303716997
320	0.4291471757
321	0.4281202244
322	0.4275633854
323	0.4270709909
324	0.4261005632
325	0.4252676265
326	0.4245162257
327	0.4240785016
328	0.423514864
329	0.4225986537
330	0.4220326865
331	0.4213146377
332	0.4209411835
333	0.4203961384
334	0.4192671791
335	0.4184448805
336	0.4175105621
337	0.4169015068
338	0.416253602
339	0.4158066275
340	0.4152450096
341	0.41434833
342	0.4133434149
343	0.4130675788
344	0.4124727707
345	0.4120698756
346	0.4114716765
347	0.4107681106
348	0.4102278478
349	0.4097710303
350	0.4091522661
351	0.4085222174
352	0.4080172114
353	0.4073752901
354	0.4064978794
355	0.405583416
356	0.4049849833
357	0.4045091403
358	0.4036912104
359	0.4030352775
360	0.4022437925
361	0.4015688902
362	0.4009438417
363	0.4004665445
364	0.3998605354
365	0.3990433403
366	0.3983288791
367	0.3976920694
368	0.3969413312
369	0.3966674933
370	0.3959448062
371	0.3953099904
372	0.3950019473
373	0.3943591493
374	0.3936247536
375	0.3928272845
376	0.3922613856
377	0.3916865487
378	0.391167099
379	0.3907364191
380	0.3895972994
381	0.3889856104
382	0.3885852638
383	0.3882743618
384	0.3876727535
385	0.3872392959
386	0.3864088201
387	0.385870179
388	0.385296605
389	0.3844997926
390	0.3838007461
391	0.3833838178
392	0.3827952346
393	0.3821243872
394	0.3815127182
395	0.3811922127
396	0.3804437675
397	0.379997727
398	0.3796480131
399	0.3791952435
400	0.3782937919
401	0.3779564892
402	0.3775852338
403	0.3767531797
404	0.3763727822
405	0.3759872539
406	0.374916492
407	0.3746182926
408	0.3736873784
409	0.3731235384
410	0.3726745824
411	0.3723626446
412	0.372064847
413	0.3715664406
414	0.3710368696
415	0.3705882854
416	0.370189317
417	0.3696230167
418	0.369285594
419	0.3686259946
420	0.368297692
421	0.367680987
422	0.367258866
423	0.3669091181
424	0.3662075206
425	0.36585264
426	0.3655642361
427	0.3649555907
428	0.3644288776
429	0.3640349331
430	0.3638425268
431	0.3635613578
432	0.3631195897
433	0.3627427036
434	0.3620477916
435	0.3613961788
436	0.3609931029
437	0.3606377898
438	0.3602630738
439	0.3596940504
440	0.3590507608
441	0.3585503077
442	0.3580956242
443	0.3574534528
444	0.3569130644
445	0.3564189842
446	0.3562561161
447	0.3557139871
448	0.3554719781
449	0.3552667974
450	0.3546168081
451	0.3538737336
452	0.3535173594
453	0.3531074495
454	0.3525442556
455	0.3521579888
456	0.3519721332
457	0.3516594663
458	0.3512710249
459	0.3509623024
460	0.3506858522
461	0.3501937678
462	0.349632183
463	0.3491884237
464	0.3485702162
465	0.3481481355
466	0.3475825162
467	0.3469344706
468	0.346299862
469	0.3458315996
470	0.3454577158
471	0.345152972
472	0.3447373778
473	0.3442886633
474	0.3438629362
475	0.3433291275
476	0.3428005573
477	0.3419891379
478	0.3417289493
479	0.3413529731
480	0.3407984953
481	0.3403299553
482	0.3400402386
483	0.3395762922
484	0.3392981769
485	0.338749774
486	0.3384080011
487	0.3380948114
488	0.3377843321
489	0.3373541518
490	0.3369498602
491	0.3365042013
492	0.3361065101
493	0.3357497844
494	0.3353067101
495	0.334753438
496	0.334244876
497	0.3339386856
498	0.3332278745
499	0.3329529538
500	0.3326222914
501	0.3320513556
502	0.3316431065
503	0.331333971
504	0.3310619379
505	0.330524267
506	0.3300918693
507	0.3296324384
508	0.3294140396
509	0.3290088036
510	0.328500778
511	0.3282112321
512	0.3278873468
513	0.327392635
514	0.327046524
515	0.3266558536
516	0.3264256185
517	0.3258117182
518	0.3255303759
519	0.3249624032
520	0.3245217078
521	0.3239110915
522	0.3236539222
523	0.3233507245
524	0.323082128
525	0.3227165372
526	0.3222714999
527	0.3218738111
528	0.3216024722
529	0.3212760545
530	0.321038515
531	0.3205492987
532	0.3202632458
533	0.3198779708
534	0.3192687077
535	0.3188592013
536	0.3185320346
537	0.3181479557
538	0.3180097529
539	0.3177302531
540	0.31721783
541	0.3169387164
542	0.3164281702
543	0.3161738837
544	0.3158583867
545	0.3156050955
546	0.3152329745
547	0.3148983983
548	0.3146049246
549	0.3142212221
550	0.3139547024
551	0.3136078945
552	0.3134438547
553	0.313054126
554	0.3128341463
555	0.3122862439
556	0.3119590186
557	0.3116494637
558	0.3113121813
559	0.3108308074
560	0.3104388649
561	0.3101285056
562	0.3099518046
563	0.3096265514
564	0.3091475244
565	0.308739204
566	0.3085689232
567	0.3082505802
568	0.3080735915
569	0.3078676013
570	0.3074839092
571	0.3073285644
572	0.3070284528
573	0.3066548037
574	0.306332641
575	0.3059575786
576	0.3058056063
577	0.3053503174
578	0.3047729122
579	0.3044367355
580	0.3042783514
581	0.3040562648
582	0.3037601996
583	0.3034425651
584	0.3030709321
585	0.3027079658
586	0.3023538284
587	0.3018396042
588	0.3015724571
589	0.3012128509
590	0.3008719363
591	0.3005474791
592	0.3001167789
593	0.2996750814
594	0.2992947448
595	0.29864659
596	0.2983855122
597	0.2979244513
598	0.2976020415
599	0.2972175701
600	0.2969179926
601	0.2966629091
602	0.2964785247
603	0.2961780859
604	0.2957284458
605	0.2953859985
606	0.2951193003
607	0.2949615665
608	0.294716929
609	0.294231278
610	0.2940339564
611	0.2936033995
612	0.2933216541
613	0.2929100676
614	0.2923663727
615	0.2920019279
616	0.2915087918
617	0.291142414
618	0.2907824564
619	0.2906440516
620	0.2904937724
621	0.2900361681
622	0.2898498815
623	0.2895076461
624	0.2891360059
625	0.2888531615
626	0.2885234664
627	0.2881347534
628	0.2878282553
629	0.2870796351
630	0.2869333786
631	0.2866733781
632	0.2864549723
633	0.2862031876
634	0.2855912574
635	0.2851831297
636	0.2846842393
637	0.2843708067
638	0.2839439329
639	0.2837531313
640	0.2832769857
641	0.2829883687
642	0.2826350744
643	0.2823089636
644	0.2819112779
645	0.2817009257
646	0.281460745
647	0.281052846
648	0.2807987134
649	0.2805722788
650	0.2802822866
651	0.2801115342
652	0.2797376474
653	0.2794290962
654	0.2791783603
655	0.2788451505
656	0.2786684137
657	0.2783731228
658	0.2780223324
659	0.2777430404
660	0.2775458797
661	0.2771499608
662	0.27693819
663	0.2766982832
664	0.2764472267
665	0.2762849839
666	0.2759826338
667	0.2756604469
668	0.2752449582
669	0.2748908763
670	0.274537574
671	0.2742586483
672	0.2740378916
673	0.2737110117
674	0.2735509964
675	0.2731871302
676	0.2729048762
677	0.2725487231
678	0.2721302029
679	0.2717774839
680	0.2714401934
681	0.2712600224
682	0.2710387123
683	0.2706508534
684	0.2705385491
685	0.2703544724
686	0.2701935535
687	0.2698571338
688	0.2694526431
689	0.2691052343
690	0.2689354299
691	0.2686295379
692	0.2683124201
693	0.2681130606
694	0.2679098415
695	0.2675975294
696	0.2672374217
697	0.2665986943
698	0.2663063253
699	0.266043584
700	0.2657514128
701	0.2656625108
702	0.2652546817
703	0.2650073425
704	0.2648338288
705	0.2644709851
706	0.2642574149
707	0.26405081
708	0.2637079227
709	0.2634156965
710	0.2631510368
711	0.2629552224
712	0.2626035121
713	0.2624219716
714	0.2621571934
715	0.2619218457
716	0.2614984749
717	0.2612645814
718	0.2609990737
719	0.2607934829
720	0.2606542016
721	0.260467829
722	0.2600178398
723	0.2596594964
724	0.2595392874
725	0.2593625349
726	0.2591563748
727	0.2587336582
728	0.2584644493
729	0.2582307038
730	0.2579338616
731	0.2574786585
732	0.2571508285
733	0.2569649989
734	0.2566471869
735	0.2563116609
736	0.2558236871
737	0.2555316503
738	0.255081153
739	0.2547814949
740	0.2545671378
741	0.2544447716
742	0.2542700016
743	0.2540384241
744	0.2535217238
745	0.2532464288
746	0.253010444
747	0.2526897918
748	0.2524887099
749	0.2522209685
750	0.2520485519
751	0.2517326509
752	0.2516050632
753	0.251255259
754	0.2508935825
755	0.2505927026
756	0.2503252659
757	0.2499815722
758	0.2495691725
759	0.2492743923
760	0.2490530152
761	0.2489000512
762	0.2487045684
763	0.2485300945
764	0.2484054576
765	0.2480940615
766	0.2479818147
767	0.2477450502
768	0.2475529394
769	0.2472634649
770	0.2469704426
771	0.2468463776
772	0.2465918049
773	0.2463336769
774	0.2461577191
775	0.2460066277
776	0.2458252009
777	0.2456102362
778	0.2453793686
779	0.2451114169
780	0.2448574054
781	0.2445984943
782	0.2444915487
783	0.2443039914
784	0.2441023681
785	0.2437909178
786	0.243628939
787	0.2431990914
788	0.2429608121
789	0.2428227883
790	0.2427310776
791	0.2424070629
792	0.242240913
793	0.2420402865
794	0.2416792513
795	0.2415662154
796	0.2411681093
797	0.2409488447
798	0.2406059954
799	0.2403924062
800	0.2401662673
801	0.239714653
802	0.2395358544
803	0.2390055413
804	0.2386772993
805	0.2382140002
806	0.2381243523
807	0.237593752
808	0.237350162
809	0.2370963039
810	0.2369389759
811	0.2366567695
812	0.2364726867
813	0.2360924315
814	0.2357763059
815	0.2354973832
816	0.2352894291
817	0.2351612919
818	0.2350119781
819	0.2348308855
820	0.23468882
821	0.2343183482
822	0.2341594035
823	0.233961531
824	0.2336975601
825	0.2335754007
826	0.2333924078
827	0.2329822566
828	0.2327206334
829	0.2325392344
830	0.2324304178
831	0.2322822584
832	0.231997062
833	0.2317161119
834	0.2314978815
835	0.2313195243
836	0.2311878769
837	0.231017311
838	0.2307856365
839	0.2304240531
840	0.2301424148
841	0.229869599
842	0.2296735821
843	0.2294977329
844	0.2292417004
845	0.228992433
846	0.2288131449
847	0.2285330992
848	0.2284153544
849	0.2281108192
850	0.2279876058
851	0.227861518
852	0.2277559453
853	0.2276312489
854	0.2273703382
855	0.2271634542
856	0.2269878376
857	0.2266903085
858	0.2265612203
859	0.2262621312
860	0.2259938761
861	0.2257964321
862	0.225557738
863	0.225402388
864	0.2251751383
865	0.2249882401
866	0.2248826436
867	0.2247245295
868	0.2244558727
869	0.2242999715
870	0.2241554852
871	0.2240097419
872	0.2237849779
873	0.2235635261
874	0.2233207315
875	0.2230879632
876	0.2229078577
877	0.2228122328
878	0.2226210921
879	0.2224957309
880	0.2223238999
881	0.222049845
882	0.2218049238
883	0.2216598218
884	0.2215338521
885	0.2213430148
886	0.2211868683
887	0.2210805579
888	0.2208014737
889	0.2206364085
890	0.220457418
891	0.2201062596
892	0.21997555
893	0.2197846009
894	0.219610768
895	0.219460053
896	0.2192457008
897	0.2191759035
898	0.218968909
899	0.2186716707
900	0.2185852262
901	0.2184964328
902	0.2181606793
903	0.2180736951
904	0.2178648797
905	0.2177813226
906	0.2175959282
907	0.2174593314
908	0.2173713095
909	0.2171805027
910	0.2170381719
911	0.2167984382
912	0.2165936693
913	0.2162998773
914	0.2162060888
915	0.2159575285
916	0.215583596
917	0.2154475164
918	0.2152360742
919	0.2149138208
920	0.214673376
921	0.2145033666
922	0.2143298954
923	0.214219925
924	0.2140569563
925	0.2138449098
926	0.2135125941
927	0.2132530392
928	0.2131137456
929	0.2129274069
930	0.2126127676
931	0.2125281172
932	0.2122544805
933	0.2121447742
934	0.2120150277
935	0.2117962161
936	0.211544476
937	0.2113002817
938	0.2111347335
939	0.2109463375
940	0.2107700817
941	0.2106201487
942	0.210356236
943	0.210110182
944	0.2099732693
945	0.2098513455
946	0.2097356657
947	0.2095739441
948	0.2093950127
949	0.2091077053
950	0.2089555477
951	0.2088378361
952	0.208598877
953	0.2084244379
954	0.208338066
955	0.2080837972
956	0.2077776682
957	0.2075975641
958	0.2074326314
959	0.2070978289
960	0.2068915453
961	0.2066236757
962	0.206372202
963	0.2060206923
964	0.2057790486
965	0.2056251887
966	0.2054747938
967	0.2053235831
968	0.2051657742
969	0.2049932747
970	0.2048583909
971	0.204724651
972	0.2044579279
973	0.2042546186
974	0.2040821164
975	0.2036812941
976	0.2033918255
977	0.2032447241
978	0.2031407709
979	0.2029124842
980	0.2026187396
981	0.2024969656
982	0.2024113709
983	0.2022683489
984	0.202135213
985	0.2018339988
986	0.2017168247
987	0.2014296341
988	0.2012732651
989	0.2010766167
990	0.2008074401
991	0.2007161226
992	0.2004597655
993	0.2003147399
994	0.2001496935
995	0.2000586449
996	0.1999055229
997	0.1996576286
998	0.1994179176
999	0.1991641143
