iter	Passed	Remaining
407	5354	7769
408	5368	7756
409	5381	7743
410	5394	7731
411	5408	7718
412	5420	7704
413	5433	7690
414	5446	7677
415	5459	7663
416	5471	7649
417	5485	7637
418	5497	7623
419	5512	7612
420	5524	7597
421	5537	7584
422	5550	7571
423	5564	7559
424	5578	7546
425	5591	7534
426	5605	7521
427	5618	7508
428	5631	7494
429	5643	7480
430	5655	7466
431	5667	7452
432	5680	7438
433	5693	7425
434	5706	7412
435	5721	7400
436	5733	7386
437	5746	7373
438	5759	7359
439	5772	7346
440	5785	7333
441	5798	7320
442	5811	7307
443	5825	7294
444	5839	7283
445	5852	7270
446	5865	7256
447	5879	7244
448	5891	7229
449	5903	7215
450	5916	7201
451	5929	7188
452	5943	7176
453	5955	7162
454	5968	7148
455	5980	7135
456	5993	7121
457	6005	7106
458	6018	7094
459	6031	7080
460	6044	7067
461	6057	7054
462	6071	7041
463	6084	7029
464	6098	7016
465	6110	7002
466	6123	6988
467	6137	6976
468	6152	6966
469	6165	6952
470	6178	6939
471	6190	6924
472	6203	6911
473	6216	6898
474	6229	6885
475	6242	6872
476	6256	6859
477	6269	6846
478	6281	6832
479	6295	6819
480	6307	6806
481	6320	6792
482	6333	6778
483	6346	6765
484	6358	6751
485	6372	6739
486	6385	6725
487	6398	6713
488	6411	6699
489	6424	6686
490	6436	6672
491	6449	6659
492	6463	6646
493	6475	6633
494	6489	6620
495	6501	6606
496	6514	6592
497	6526	6579
498	6540	6566
499	6554	6554
500	6566	6540
501	6580	6528
502	6592	6514
503	6605	6500
504	6618	6487
505	6631	6474
506	6644	6461
507	6658	6448
508	6671	6435
509	6685	6423
510	6699	6411
511	6713	6398
512	6725	6384
513	6738	6371
514	6751	6357
515	6764	6344
516	6777	6331
517	6790	6318
518	6804	6306
519	6817	6293
520	6830	6279
521	6844	6267
522	6856	6253
523	6869	6240
524	6882	6227
525	6895	6214
526	6908	6201
527	6921	6187
528	6934	6173
529	6947	6161
530	6960	6148
531	6974	6135
532	6987	6122
533	7000	6108
534	7013	6096
535	7027	6083
536	7039	6069
537	7052	6056
538	7065	6042
539	7077	6029
540	7090	6015
541	7103	6002
542	7116	5989
543	7129	5976
544	7142	5963
545	7156	5950
546	7168	5936
547	7181	5923
548	7195	5910
549	7208	5898
550	7221	5885
551	7234	5871
552	7246	5857
553	7260	5845
554	7273	5832
555	7287	5819
556	7300	5806
557	7314	5793
558	7326	5780
559	7339	5767
560	7353	5754
561	7366	5740
562	7378	5727
563	7391	5714
564	7406	5702
565	7421	5690
566	7433	5676
567	7446	5663
568	7459	5650
569	7472	5636
570	7485	5624
571	7498	5610
572	7511	5597
573	7524	5584
574	7538	5571
575	7551	5558
576	7564	5545
577	7577	5532
578	7590	5519
579	7605	5507
580	7619	5495
581	7633	5482
582	7646	5469
583	7659	5456
584	7673	5443
585	7686	5430
586	7700	5417
587	7712	5404
588	7725	5390
589	7737	5377
590	7751	5364
591	7764	5351
592	7778	5338
593	7791	5325
594	7804	5312
595	7818	5299
596	7831	5286
597	7844	5273
598	7857	5260
599	7871	5247
600	7885	5234
601	7899	5222
602	7912	5209
603	7924	5195
604	7936	5181
605	7948	5168
606	7961	5154
607	7974	5141
608	7987	5128
609	8000	5115
610	8013	5101
611	8026	5088
612	8039	5075
613	8052	5062
614	8065	5049
615	8079	5036
616	8093	5024
617	8106	5010
618	8119	4997
619	8132	4984
620	8145	4971
621	8158	4957
622	8171	4944
623	8185	4932
624	8197	4918
625	8211	4905
626	8224	4892
627	8238	4880
628	8251	4867
629	8264	4853
630	8277	4840
631	8290	4827
632	8303	4814
633	8317	4801
634	8332	4789
635	8346	4776
636	8360	4764
637	8373	4751
638	8387	4738
639	8400	4725
640	8415	4713
641	8428	4700
642	8441	4686
643	8455	4674
644	8469	4661
645	8481	4647
646	8494	4634
647	8508	4621
648	8521	4608
649	8534	4595
650	8546	4581
651	8559	4568
652	8573	4555
653	8586	4542
654	8599	4529
655	8613	4516
656	8627	4504
657	8641	4491
658	8654	4478
659	8668	4465
660	8680	4452
661	8694	4439
662	8706	4425
663	8719	4412
664	8732	4399
665	8745	4386
666	8758	4372
667	8771	4359
668	8785	4346
669	8798	4333
670	8812	4320
671	8826	4308
672	8839	4294
673	8852	4281
674	8865	4268
675	8878	4255
676	8891	4242
677	8904	4229
678	8917	4215
679	8931	4202
680	8945	4190
681	8958	4177
682	8971	4164
683	8984	4150
684	8997	4137
685	9009	4123
686	9022	4110
687	9036	4097
688	9050	4085
689	9064	4072
690	9076	4058
691	9089	4045
692	9103	4032
693	9116	4019
694	9128	4006
695	9142	3993
696	9156	3980
697	9169	3967
698	9182	3954
699	9196	3941
700	9208	3927
701	9220	3914
702	9234	3901
703	9248	3888
704	9261	3875
705	9276	3862
706	9288	3849
707	9301	3836
708	9313	3822
709	9327	3809
710	9341	3796
711	9353	3783
712	9367	3770
713	9381	3758
714	9396	3745
715	9412	3733
716	9427	3721
717	9442	3708
718	9457	3696
719	9472	3683
720	9487	3671
721	9501	3658
722	9515	3645
